text_id,block_id,line_id,sentence
100002_8,1,10,这样一来，每天早上对着镜子说的仪式也不需要了。
100002_8,1,11,妹妹的问题也顺利解决，人生一帆风顺。
100002_8,1,20,"就这样——
　在我眼前，是一片爱与希望的草原。"
100002_8,1,22,我上的芦谷高中，响起了热闹的声音。
100002_8,1,26,解决了妹妹问题的阳光角色的我，和同学们在这两周里，快乐地准备着文化祭。
100002_8,1,32,不管到哪里都被当成公主一样对待，和学校里所有人都成了朋友！
100002_8,1,33,每天都有人向我告白，鞋柜里总是塞满了情书，老师也超疼爱我，度过了最棒的三年！
100002_8,1,34,不对……把过去当成不存在，不是把对自己有利的妄想当成真实……那是心理疾病……。
100002_8,1,35,在教室前的走廊上，我差点就要回过神来。
100002_8,1,38,在那里的是，总是对我献殷勤的甘织玲奈子的粉丝女孩，也是我最好的朋友，平野同学和长谷川同学。
100002_8,1,39,沐浴在两人闪闪发光的视线中，我微微一笑。
100002_8,1,42,说是cosplay，但并不是之前和小香穗一起玩的那种正式的cosplay。
100002_8,1,45,是现在很少见的cosplay用设计。
100002_8,1,49,裤袜无论何时都是女高中生的保险带……。
100002_8,1,50,顺便一提，护士服上到处都是血迹，营造出一种危险的氛围。
100002_8,1,51,要是有这种护士来检查，谁都会在医院的评论网站上写，然后给一颗星吧。
100002_8,1,55,如果我有阳角过敏症的话，接下来80年都会打喷嚏打个不停，但我！
100002_8,1,61,据说这间教室里，会出现因为三角关系而被刺死的女孩子的幽灵。
100002_8,1,62,我一瞬间产生了的想法，但好像是虚构的。
100002_8,1,63,如果是真实事件的话，那还得了。
100002_8,1,64,准备的过程，其实还挺开心的……。
100002_8,1,65,在窗户上贴上铝箔遮住光线，把黑色塑料袋缠在日光灯上，确保有不危险的照明。
100002_8,1,66,然后用纸箱堆成墙壁，把教室变成迷宫，同时在上面贴上大量的报纸。
100002_8,1,67,在报纸上印上鲜红的手印，就营造出了鬼屋常见的氛围。
100002_8,1,70,虽然很有文化祭的风格，但作为从头开始制作的我，还是相当满足的。
100002_8,1,72,啊啊，我们的鬼屋……文化祭结束之后就要拆了，好寂寞……好想就这么上课……不，我也不想。
100002_8,1,73,综上所述，我cos了浑身是血的护士。
100002_8,1,74,不，仔细想想，幽灵教室里有护士，世界观也太奇怪了……不过算了！
100002_8,1,79,平野同学和长谷川同学的赞美之词，沁入了我的心田……。
100002_8,1,80,虽然cos服是现成的，但小香穗悄悄地帮我修改了一下，所以我觉得看起来还是挺不错的。
100002_8,1,81,化妆也是，之前紫阳花同学教过我，所以多了一手。
100002_8,1,82,我可能真的变成阳角了…………。
100002_8,1,83,现在也是，就算像这样站在教室前的走廊上做鬼屋的接待员，也不太在意别人的眼光。
100002_8,1,84,虽然路过的人会盯着我看，但我完全能忍受。
100002_8,1,85,不过，被不认识的人搭话还是会紧张的。
100002_8,1,86,但是，只是紧张而已，对我来说是难以估量的进步。
100002_8,1,87,甘织玲奈子，等级提升太多了……。
100002_8,1,90,眼前站着一个穿着陌生校服的小女孩。
100002_8,1,91,她就像面对着一只过于巨大的狗一样，畏缩着往后退了三步，用胆怯的眼神看着这边。
100002_8,1,94,被称作西山的女孩子，似乎完全失去了理智。
100002_8,1,96,平野同学和长谷川同学把其他学校的朋友叫来了文化祭。
100002_8,1,97,然后在向对方炫耀我的存在……！
100002_8,1,98,第一次看到平野同学和长谷川同学的这一面，我产生了强烈的共鸣。
100002_8,1,99,如果我站在同样的立场，也绝对会做同样的事吧。
100002_8,1,110,而平野同学和长谷川同学的笑容也变得更加深邃。
100002_8,1,119,现在正是说出那句话的时候……！
100002_8,1,123,我用双手比出V字手势，尽全力露出了微笑。
100002_8,1,128,西山同学被平野同学和长谷川同学牢牢抓住双臂，就这样被拖走了。
100002_8,1,131,我低头看着自己的双手，就像一个变得过于强大的可悲怪物一样颤抖着。
100002_8,1,135,我转过头去，发现刚才为了宣传鬼屋而踏上发传单之旅的紫阳花同学就在那里。
100002_8,1,136,当然，紫阳花同学也cosplay了。
100002_8,1,141,"jpg

　明明已经看过好几次了，甚至都一起换过衣服，但还是能感受到新鲜的感动。"
100002_8,1,142,好吃的点心不管吃几百次都还是很好吃……。
100002_8,1,143,紫阳花同学穿着黑白单色搭配的服装，戴着类似头纱的头巾
100002_8,1,146,因为只是鬼屋的cosplay，所以裙子果然很短，还开了很深的衩。
100002_8,1,149,我可没有用那种眼光看待紫阳花同学哦！
100002_8,1,153,要是裙子再短个一毫米，就不知道会变成什么样了。
100002_8,1,158,毕竟在紫阳花同学面前，就算是坏人也做不了坏事。
100002_8,1,159,就算是惯犯也一定会痛哭流涕地悔改。
100002_8,1,168,然后用双手比出V字手势，露出了世界上最可爱的笑容。
100002_8,1,169,"哇啊——
　因为太过可爱，我失去了语言能力。"
100002_8,1,173,毕竟人是无法承受天使的笑容从正面直击的……我一定会变成盐柱的……。
100002_8,1,174,不管再怎么习惯被这个笑容灼烧，也不可能习惯的！
100002_8,1,175,就在我胡思乱想的时候，到了换班的时间。
100002_8,1,176,和紫阳花同学换班的我，决定穿着护士服在校内闲逛。
100002_8,1,177,好，我要享受成为阳角后的第一次文化祭！
100002_8,1,183,就算随意地看看展览物，也会感到尴尬。
100002_8,1,184,周围的人都是和朋友一起享受文化祭，而我却是一个人……只有我一个人在世界上孤身一人……。
100002_8,1,185,离开一年A班还不到五分钟，我的精神状态就回到了家里蹲时代。
100002_8,1,186,结果，如果没有朋友的包围，我就什么都做不到……！
100002_8,1,191,加入知名团体，反而让我受到了负面效果。
100002_8,1,192,而且，还穿着这种轻飘飘的衣服……我到底在干什么啊……！
100002_8,1,196,只要能到达天台，总会有办法的。
100002_8,1,198,然后，再若无其事地回到一年A班就行了。
100002_8,1,199,只有和一年A班的大家在一起的时候，我才能成为阳角。
100002_8,2,204,通往天台的楼梯，被从教室里搬出来的大量桌椅堵住了。
100002_8,2,209,也有人是必须去屋顶才能活下去的啊！
100002_8,2,211,就算平时为了防止有人坠楼而禁止进入，把门锁上了！
100002_8,2,215,Queentet也有两种类型。
100002_8,2,216,一种是像紫阳花同学、小香穗以及真唯这样，真的朋友很多，交际圈很广的人。
100002_8,2,217,然后另一种是像纱月同学这样，只和特定的人说话。
100002_8,2,221,我满足于自己在Queentet这个位置上。
100002_8,2,223,这样的话，或许会有人来跟我说话。
100002_8,2,225,就在我快要被挫败感压垮，走在走廊上的时候，一道救赎的声音传了过来。
100002_8,2,226,这个有点嚣张的尖锐声音是……！
100002_8,2,229,星来不是一个人，而是和别人组队。
100002_8,2,233,星来穿着制服，和妹妹还有凑同学在一起。
100002_8,2,235,自从上次闯入梨地家的事件以来，感觉凑同学对我一直很尊敬。
100002_8,2,236,"这孩子真是个好孩子……
　不好的孩子们把我夹在中间。"
100002_8,2,237,"姐姐不喜欢这种带刺的话……
　不过面对妹妹，我还能耍嘴皮子。"
100002_8,2,239,我绕到正准备转身离开的妹妹面前，挺起胸膛。
100002_8,2,241,因为你们这些人生经验不足的初中生太需要照顾了！
100002_8,2,242,星来同学一边用甜腻的声音拉长语尾，一边抱住了我的手臂。
100002_8,2,247,怎么会，这可是我的笑容啊……！
100002_8,2,251,明明我都大喊过好几次那是误会了！
